,Rating_sum,smoker,drink_level,dress_preference,ambience,transport,marital_status,hijos,age,interest,personality,religion,activity,budget,alcohol,smoking_area,dress_code,accessibility,price,Rambience,area,other_services
15,5,FALSE,casual drinker,formal,family,public,single,independent,20,technology,thrifty-protector,Catholic,student,medium,No_Alcohol_Served,not permitted,informal,completely,low,quiet,closed,none
16,4,FALSE,casual drinker,formal,family,public,single,independent,20,technology,thrifty-protector,Catholic,student,medium,No_Alcohol_Served,not permitted,informal,completely,low,quiet,closed,none
17,0,TRUE,social drinker,informal,family,public,single,independent,22,technology,thrifty-protector,Catholic,student,medium,Wine-Beer,none,informal,no_accessibility,medium,familiar,closed,none
18,4,FALSE,abstemious,informal,family,public,single,independent,24,technology,hard-worker,Catholic,student,medium,No_Alcohol_Served,not permitted,informal,completely,low,quiet,closed,none
19,6,FALSE,abstemious,informal,family,public,single,independent,24,technology,hard-worker,Catholic,student,medium,No_Alcohol_Served,none,informal,no_accessibility,medium,familiar,closed,none
20,3,FALSE,abstemious,informal,family,public,single,independent,24,technology,hard-worker,Catholic,student,medium,No_Alcohol_Served,not permitted,informal,completely,low,quiet,closed,none
21,5,FALSE,social drinker,no preference,family,car owner,single,dependent,27,none,hard-worker,Catholic,student,medium,No_Alcohol_Served,not permitted,informal,completely,low,quiet,closed,none
22,0,TRUE,social drinker,informal,family,car owner,married,dependent,42,variety,thrifty-protector,Catholic,professional,medium,Wine-Beer,none,informal,completely,low,familiar,closed,variety
23,6,FALSE,abstemious,no preference,family,public,single,independent,30,none,hard-worker,none,student,medium,No_Alcohol_Served,none,informal,completely,low,familiar,closed,none
24,5,FALSE,abstemious,no preference,family,public,single,independent,30,none,hard-worker,none,student,medium,No_Alcohol_Served,none,informal,completely,low,familiar,closed,none
25,6,FALSE,abstemious,informal,solitary,public,single,independent,28,technology,thrifty-protector,Catholic,student,medium,Wine-Beer,none,informal,no_accessibility,medium,familiar,closed,none
26,5,FALSE,abstemious,informal,solitary,public,single,independent,28,technology,thrifty-protector,Catholic,student,medium,Wine-Beer,none,informal,no_accessibility,medium,familiar,closed,none
27,3,FALSE,abstemious,informal,solitary,public,single,independent,28,technology,thrifty-protector,Catholic,student,medium,No_Alcohol_Served,none,informal,completely,low,familiar,closed,none
28,4,FALSE,abstemious,informal,solitary,public,single,independent,28,technology,thrifty-protector,Catholic,student,medium,No_Alcohol_Served,not permitted,informal,no_accessibility,medium,familiar,closed,none
29,5,FALSE,abstemious,informal,solitary,public,single,independent,28,technology,thrifty-protector,Catholic,student,medium,No_Alcohol_Served,none,informal,completely,low,familiar,closed,none
30,2,FALSE,abstemious,informal,solitary,public,single,independent,28,technology,thrifty-protector,Catholic,student,medium,No_Alcohol_Served,none,informal,no_accessibility,medium,familiar,closed,none
31,4,FALSE,abstemious,informal,solitary,public,single,independent,28,technology,thrifty-protector,Catholic,student,medium,No_Alcohol_Served,none,informal,completely,low,familiar,closed,none
32,3,FALSE,abstemious,informal,solitary,public,single,independent,28,technology,thrifty-protector,Catholic,student,medium,No_Alcohol_Served,none,informal,no_accessibility,medium,familiar,closed,none
33,4,FALSE,casual drinker,formal,family,public,single,independent,23,technology,hard-worker,Catholic,student,medium,Wine-Beer,none,informal,completely,low,familiar,closed,variety
34,6,FALSE,casual drinker,formal,family,public,single,independent,23,technology,hard-worker,Catholic,student,medium,Wine-Beer,none,informal,completely,low,familiar,closed,variety
35,6,FALSE,casual drinker,formal,family,public,single,independent,23,technology,hard-worker,Catholic,student,medium,Wine-Beer,none,informal,completely,low,familiar,closed,variety
36,6,TRUE,casual drinker,no preference,family,car owner,single,independent,21,variety,thrifty-protector,Catholic,student,medium,Wine-Beer,none,informal,completely,low,familiar,closed,variety
37,6,TRUE,casual drinker,no preference,family,car owner,single,independent,21,variety,thrifty-protector,Catholic,student,medium,Wine-Beer,none,informal,completely,low,familiar,closed,variety
38,6,TRUE,casual drinker,no preference,family,car owner,single,independent,21,variety,thrifty-protector,Catholic,student,medium,Wine-Beer,none,informal,completely,low,familiar,closed,variety
39,5,TRUE,casual drinker,no preference,family,car owner,single,independent,21,variety,thrifty-protector,Catholic,student,medium,Wine-Beer,none,informal,completely,low,familiar,closed,variety
40,6,TRUE,casual drinker,no preference,family,car owner,single,independent,21,variety,thrifty-protector,Catholic,student,medium,Wine-Beer,none,informal,completely,low,familiar,closed,variety
41,6,FALSE,casual drinker,formal,family,public,single,independent,20,eco-friendly,hard-worker,Catholic,student,medium,Wine-Beer,none,informal,completely,low,familiar,closed,variety
42,5,TRUE,casual drinker,no preference,family,car owner,single,independent,21,variety,thrifty-protector,Catholic,student,medium,Wine-Beer,none,informal,completely,low,familiar,closed,variety
43,6,FALSE,casual drinker,formal,family,public,single,independent,20,eco-friendly,hard-worker,Catholic,student,medium,Wine-Beer,none,informal,completely,low,familiar,closed,variety
44,6,FALSE,casual drinker,formal,family,public,single,independent,23,technology,hard-worker,Catholic,student,medium,Wine-Beer,none,informal,completely,low,familiar,closed,variety
45,6,FALSE,casual drinker,formal,family,public,single,independent,23,technology,hard-worker,Catholic,student,medium,Wine-Beer,none,informal,completely,low,familiar,closed,variety
46,2,FALSE,casual drinker,formal,family,public,single,independent,20,eco-friendly,hard-worker,Catholic,student,medium,No_Alcohol_Served,none,informal,no_accessibility,medium,familiar,closed,none
47,6,TRUE,casual drinker,no preference,family,car owner,single,independent,21,variety,thrifty-protector,Catholic,student,medium,No_Alcohol_Served,not permitted,informal,completely,low,quiet,closed,none
48,0,FALSE,casual drinker,formal,family,public,single,independent,20,eco-friendly,hard-worker,Catholic,student,medium,Wine-Beer,none,informal,completely,low,familiar,closed,variety
49,2,TRUE,casual drinker,no preference,family,car owner,single,independent,21,variety,thrifty-protector,Catholic,student,medium,Wine-Beer,none,informal,completely,low,familiar,closed,variety
50,0,FALSE,casual drinker,formal,family,public,single,independent,20,eco-friendly,hard-worker,Catholic,student,medium,No_Alcohol_Served,not permitted,informal,completely,low,quiet,closed,none
51,0,FALSE,casual drinker,formal,family,public,single,independent,20,eco-friendly,hard-worker,Catholic,student,medium,Wine-Beer,none,informal,completely,low,familiar,closed,variety
52,0,FALSE,casual drinker,formal,family,public,single,independent,20,eco-friendly,hard-worker,Catholic,student,medium,Wine-Beer,not permitted,informal,no_accessibility,medium,quiet,closed,variety
53,0,FALSE,casual drinker,formal,family,public,single,independent,20,eco-friendly,hard-worker,Catholic,student,medium,Wine-Beer,none,informal,completely,low,familiar,closed,variety
54,5,FALSE,abstemious,informal,solitary,public,single,independent,25,technology,thrifty-protector,Catholic,student,low,Wine-Beer,none,informal,completely,low,familiar,closed,variety
55,3,FALSE,abstemious,informal,solitary,public,single,independent,25,technology,thrifty-protector,Catholic,student,low,Wine-Beer,none,informal,completely,low,familiar,closed,variety
56,6,FALSE,abstemious,no preference,solitary,public,single,independent,19,variety,hard-worker,Catholic,student,low,Full_Bar,permitted,informal,completely,high,familiar,closed,variety
57,4,FALSE,abstemious,no preference,solitary,public,single,independent,19,variety,hard-worker,Catholic,student,low,No_Alcohol_Served,not permitted,informal,no_accessibility,low,familiar,closed,none
58,4,FALSE,abstemious,no preference,solitary,public,single,independent,19,variety,hard-worker,Catholic,student,low,Wine-Beer,none,informal,completely,low,familiar,closed,variety
59,6,FALSE,abstemious,no preference,solitary,public,single,independent,19,variety,hard-worker,Catholic,student,low,Wine-Beer,none,informal,completely,low,familiar,closed,variety
60,3,FALSE,casual drinker,formal,family,public,single,independent,20,retro,hunter-ostentatious,none,professional,medium,No_Alcohol_Served,not permitted,informal,completely,low,quiet,closed,none
61,3,FALSE,abstemious,informal,solitary,public,single,independent,25,technology,thrifty-protector,Catholic,student,low,Wine-Beer,none,informal,completely,low,familiar,closed,variety
62,4,FALSE,casual drinker,formal,family,public,single,independent,20,retro,hunter-ostentatious,none,professional,medium,Full_Bar,permitted,informal,completely,high,familiar,closed,variety
63,1,FALSE,casual drinker,formal,family,public,single,independent,20,retro,hunter-ostentatious,none,professional,medium,Wine-Beer,none,informal,completely,low,familiar,closed,variety
64,4,FALSE,abstemious,informal,solitary,public,single,independent,25,technology,thrifty-protector,Catholic,student,low,No_Alcohol_Served,not permitted,informal,completely,low,quiet,closed,none
65,3,FALSE,casual drinker,formal,friends,public,single,independent,21,eco-friendly,hard-worker,Catholic,student,medium,No_Alcohol_Served,not permitted,informal,no_accessibility,low,familiar,closed,none
66,4,FALSE,casual drinker,formal,friends,public,single,independent,21,eco-friendly,hard-worker,Catholic,student,medium,Wine-Beer,none,informal,completely,low,familiar,closed,variety
67,5,FALSE,abstemious,informal,solitary,public,single,independent,25,technology,thrifty-protector,Catholic,student,low,Wine-Beer,none,informal,completely,low,familiar,closed,variety
68,4,FALSE,casual drinker,formal,friends,public,single,independent,21,eco-friendly,hard-worker,Catholic,student,medium,Wine-Beer,none,informal,completely,low,familiar,closed,variety
69,6,FALSE,casual drinker,formal,friends,public,single,independent,21,eco-friendly,hard-worker,Catholic,student,medium,Wine-Beer,none,informal,completely,low,familiar,closed,variety
70,6,FALSE,casual drinker,formal,friends,public,single,independent,21,eco-friendly,hard-worker,Catholic,student,medium,No_Alcohol_Served,not permitted,informal,completely,low,quiet,closed,none
71,5,FALSE,casual drinker,formal,friends,public,single,independent,21,eco-friendly,hard-worker,Catholic,student,medium,Wine-Beer,none,informal,completely,low,familiar,closed,variety
72,3,FALSE,abstemious,no preference,family,car owner,single,independent,20,none,hard-worker,none,student,medium,Wine-Beer,none,informal,completely,low,familiar,closed,variety
73,6,FALSE,abstemious,no preference,family,car owner,single,independent,20,none,hard-worker,none,student,medium,Wine-Beer,none,informal,completely,low,familiar,closed,variety
74,2,FALSE,abstemious,no preference,family,car owner,single,independent,20,none,hard-worker,none,student,medium,No_Alcohol_Served,not permitted,informal,completely,low,quiet,closed,none
75,0,FALSE,abstemious,no preference,family,car owner,single,independent,20,none,hard-worker,none,student,medium,No_Alcohol_Served,not permitted,informal,completely,low,quiet,closed,none
76,6,FALSE,abstemious,no preference,family,car owner,single,independent,20,none,hard-worker,none,student,medium,No_Alcohol_Served,not permitted,informal,no_accessibility,low,familiar,closed,none
77,6,FALSE,abstemious,no preference,family,car owner,single,independent,20,none,hard-worker,none,student,medium,Wine-Beer,none,informal,completely,low,familiar,closed,variety
78,3,FALSE,abstemious,no preference,family,car owner,single,independent,20,none,hard-worker,none,student,medium,Full_Bar,permitted,informal,completely,high,familiar,closed,variety
79,4,FALSE,abstemious,no preference,family,car owner,single,independent,20,none,hard-worker,none,student,medium,Wine-Beer,none,informal,completely,low,familiar,closed,variety
80,3,FALSE,abstemious,no preference,family,car owner,single,independent,20,none,hard-worker,none,student,medium,Wine-Beer,none,informal,completely,low,familiar,closed,variety
81,0,TRUE,casual drinker,informal,friends,public,single,independent,24,technology,thrifty-protector,none,student,medium,Wine-Beer,none,informal,completely,low,familiar,closed,variety
82,5,FALSE,casual drinker,no preference,family,public,single,independent,27,eco-friendly,thrifty-protector,Catholic,student,medium,Wine-Beer,none,informal,completely,low,familiar,closed,variety
83,5,FALSE,casual drinker,no preference,family,public,single,independent,27,eco-friendly,thrifty-protector,Catholic,student,medium,No_Alcohol_Served,not permitted,informal,completely,low,quiet,closed,none
84,1,FALSE,casual drinker,no preference,family,public,single,independent,27,eco-friendly,thrifty-protector,Catholic,student,medium,No_Alcohol_Served,none,informal,no_accessibility,medium,familiar,closed,none
85,0,FALSE,casual drinker,informal,friends,car owner,single,independent,23,none,hard-worker,Catholic,student,low,No_Alcohol_Served,not permitted,informal,completely,low,quiet,closed,none
86,6,FALSE,casual drinker,informal,friends,car owner,single,independent,23,none,hard-worker,Catholic,student,low,No_Alcohol_Served,not permitted,informal,completely,low,quiet,closed,none
87,3,TRUE,social drinker,formal,friends,car owner,single,independent,24,variety,hard-worker,Catholic,student,low,No_Alcohol_Served,not permitted,informal,completely,low,quiet,closed,none
88,4,FALSE,casual drinker,formal,family,public,single,independent,23,eco-friendly,conformist,Catholic,student,medium,No_Alcohol_Served,none,informal,no_accessibility,medium,familiar,closed,none
89,0,TRUE,abstemious,informal,friends,public,single,independent,22,variety,hard-worker,Catholic,student,medium,No_Alcohol_Served,none,casual,completely,low,familiar,open,none
90,0,TRUE,abstemious,informal,friends,public,single,independent,22,variety,hard-worker,Catholic,student,medium,No_Alcohol_Served,not permitted,informal,completely,low,quiet,closed,none
91,5,TRUE,casual drinker,no preference,family,car owner,single,dependent,44,eco-friendly,hard-worker,Catholic,professional,medium,Wine-Beer,none,informal,completely,low,familiar,closed,variety
92,6,TRUE,casual drinker,no preference,family,car owner,single,dependent,44,eco-friendly,hard-worker,Catholic,professional,medium,Wine-Beer,none,informal,completely,low,familiar,closed,variety
93,6,TRUE,casual drinker,no preference,family,car owner,single,dependent,44,eco-friendly,hard-worker,Catholic,professional,medium,Wine-Beer,none,informal,completely,low,familiar,closed,variety
94,3,FALSE,abstemious,no preference,friends,public,single,independent,29,technology,thrifty-protector,Catholic,professional,medium,Wine-Beer,none,informal,completely,low,familiar,closed,variety
95,1,FALSE,abstemious,no preference,friends,public,single,independent,29,technology,thrifty-protector,Catholic,professional,medium,No_Alcohol_Served,not permitted,informal,completely,low,quiet,closed,none
96,4,FALSE,abstemious,no preference,friends,public,single,independent,29,technology,thrifty-protector,Catholic,professional,medium,No_Alcohol_Served,none,informal,no_accessibility,medium,familiar,closed,none
97,5,FALSE,abstemious,no preference,friends,public,single,independent,29,technology,thrifty-protector,Catholic,professional,medium,Wine-Beer,none,informal,completely,low,familiar,closed,variety
98,5,FALSE,abstemious,no preference,friends,public,single,independent,29,technology,thrifty-protector,Catholic,professional,medium,No_Alcohol_Served,not permitted,informal,completely,low,quiet,closed,none
99,3,FALSE,abstemious,no preference,friends,public,single,independent,29,technology,thrifty-protector,Catholic,professional,medium,Wine-Beer,none,informal,completely,low,familiar,closed,variety
100,0,TRUE,casual drinker,informal,friends,public,single,independent,24,technology,thrifty-protector,none,student,medium,No_Alcohol_Served,not permitted,informal,completely,low,quiet,closed,none
101,2,TRUE,casual drinker,informal,friends,public,single,independent,24,technology,thrifty-protector,none,student,medium,No_Alcohol_Served,not permitted,informal,no_accessibility,low,familiar,closed,none
102,0,TRUE,casual drinker,informal,friends,public,single,independent,24,technology,thrifty-protector,none,student,medium,Wine-Beer,none,informal,completely,low,familiar,closed,variety
103,0,TRUE,casual drinker,informal,friends,public,single,independent,24,technology,thrifty-protector,none,student,medium,Wine-Beer,none,informal,completely,low,familiar,closed,variety
104,0,TRUE,casual drinker,informal,friends,public,single,independent,24,technology,thrifty-protector,none,student,medium,Wine-Beer,none,informal,completely,low,familiar,closed,variety
105,3,FALSE,abstemious,no preference,friends,public,single,independent,29,technology,hard-worker,Catholic,professional,medium,No_Alcohol_Served,none,informal,no_accessibility,medium,familiar,closed,none
106,6,FALSE,abstemious,no preference,friends,public,single,independent,29,technology,hard-worker,Catholic,professional,medium,No_Alcohol_Served,not permitted,informal,completely,low,quiet,closed,none
107,3,FALSE,abstemious,no preference,friends,public,single,independent,29,technology,hard-worker,Catholic,professional,medium,Wine-Beer,none,informal,completely,low,familiar,closed,variety
108,5,FALSE,abstemious,no preference,friends,public,single,independent,29,technology,hard-worker,Catholic,professional,medium,Wine-Beer,not permitted,informal,no_accessibility,medium,quiet,closed,variety
109,3,FALSE,casual drinker,no preference,family,public,single,independent,32,variety,thrifty-protector,none,professional,medium,No_Alcohol_Served,none,informal,no_accessibility,medium,familiar,closed,none
110,3,FALSE,casual drinker,no preference,family,public,single,independent,32,variety,thrifty-protector,none,professional,medium,Wine-Beer,not permitted,informal,no_accessibility,medium,quiet,closed,variety
111,4,FALSE,casual drinker,no preference,family,public,single,independent,32,variety,thrifty-protector,none,professional,medium,No_Alcohol_Served,not permitted,informal,completely,low,quiet,closed,none
112,5,FALSE,abstemious,no preference,family,car owner,married,dependent,59,none,hard-worker,Catholic,professional,medium,No_Alcohol_Served,none,informal,no_accessibility,medium,familiar,closed,none
113,6,FALSE,abstemious,no preference,family,car owner,married,dependent,59,none,hard-worker,Catholic,professional,medium,Wine-Beer,none,informal,no_accessibility,medium,familiar,closed,none
114,6,FALSE,abstemious,no preference,family,car owner,married,dependent,59,none,hard-worker,Catholic,professional,medium,No_Alcohol_Served,none,informal,completely,low,familiar,closed,none
115,6,FALSE,abstemious,no preference,family,car owner,married,dependent,59,none,hard-worker,Catholic,professional,medium,No_Alcohol_Served,none,informal,no_accessibility,low,quiet,open,none
116,0,FALSE,abstemious,no preference,family,public,single,independent,30,none,hard-worker,none,student,medium,No_Alcohol_Served,none,informal,no_accessibility,medium,familiar,closed,none
117,6,FALSE,abstemious,no preference,family,car owner,married,dependent,59,none,hard-worker,Catholic,professional,medium,No_Alcohol_Served,none,informal,no_accessibility,medium,familiar,closed,none
118,5,FALSE,abstemious,no preference,family,public,single,independent,30,none,hard-worker,none,student,medium,Wine-Beer,none,informal,no_accessibility,medium,familiar,closed,none
119,6,FALSE,abstemious,no preference,family,public,single,independent,30,none,hard-worker,none,student,medium,Wine-Beer,none,informal,no_accessibility,medium,familiar,closed,none
120,6,FALSE,abstemious,no preference,family,public,single,independent,30,none,hard-worker,none,student,medium,No_Alcohol_Served,not permitted,informal,completely,low,quiet,closed,none
121,5,FALSE,abstemious,no preference,family,public,single,independent,30,none,hard-worker,none,student,medium,No_Alcohol_Served,none,informal,completely,low,familiar,closed,none
122,6,FALSE,abstemious,no preference,family,car owner,married,dependent,59,none,hard-worker,Catholic,professional,medium,No_Alcohol_Served,none,informal,completely,low,familiar,closed,none
123,6,FALSE,abstemious,no preference,family,car owner,married,dependent,59,none,hard-worker,Catholic,professional,medium,No_Alcohol_Served,none,informal,completely,low,familiar,closed,none
124,6,FALSE,abstemious,no preference,family,car owner,married,dependent,59,none,hard-worker,Catholic,professional,medium,No_Alcohol_Served,not permitted,informal,completely,low,quiet,closed,none
125,6,FALSE,abstemious,no preference,family,car owner,married,dependent,59,none,hard-worker,Catholic,professional,medium,No_Alcohol_Served,not permitted,informal,completely,low,quiet,closed,none
126,3,FALSE,casual drinker,informal,family,public,single,independent,21,variety,thrifty-protector,Catholic,student,low,Wine-Beer,none,informal,no_accessibility,medium,familiar,closed,none
127,5,FALSE,casual drinker,informal,family,public,single,independent,21,variety,thrifty-protector,Catholic,student,low,No_Alcohol_Served,none,informal,completely,low,familiar,closed,none
128,3,FALSE,casual drinker,informal,family,public,single,independent,21,variety,thrifty-protector,Catholic,student,low,No_Alcohol_Served,not permitted,informal,completely,low,quiet,closed,none
129,5,FALSE,casual drinker,informal,family,public,single,independent,21,variety,thrifty-protector,Catholic,student,low,Wine-Beer,none,informal,no_accessibility,medium,familiar,closed,none
130,4,TRUE,casual drinker,no preference,friends,car owner,single,independent,26,variety,hunter-ostentatious,none,student,medium,Wine-Beer,none,informal,completely,low,familiar,closed,variety
131,5,TRUE,casual drinker,no preference,friends,car owner,single,independent,26,variety,hunter-ostentatious,none,student,medium,No_Alcohol_Served,not permitted,informal,completely,low,quiet,closed,none
132,5,FALSE,casual drinker,informal,family,public,single,independent,21,variety,thrifty-protector,Catholic,student,low,No_Alcohol_Served,none,informal,completely,low,familiar,closed,none
133,4,FALSE,casual drinker,informal,family,public,single,independent,21,variety,thrifty-protector,Catholic,student,low,No_Alcohol_Served,none,informal,no_accessibility,medium,familiar,closed,none
134,4,FALSE,casual drinker,informal,family,public,single,independent,21,variety,thrifty-protector,Catholic,student,low,No_Alcohol_Served,not permitted,informal,completely,low,quiet,closed,none
135,5,FALSE,casual drinker,informal,family,public,single,independent,21,variety,thrifty-protector,Catholic,student,low,Wine-Beer,none,informal,no_accessibility,medium,familiar,closed,none
136,5,FALSE,casual drinker,informal,family,public,single,independent,21,variety,thrifty-protector,Catholic,student,low,No_Alcohol_Served,none,informal,no_accessibility,low,quiet,open,none
137,5,FALSE,casual drinker,informal,family,public,single,independent,21,variety,thrifty-protector,Catholic,student,low,No_Alcohol_Served,none,informal,completely,low,familiar,closed,none
138,5,FALSE,casual drinker,informal,family,public,single,independent,21,variety,thrifty-protector,Catholic,student,low,No_Alcohol_Served,none,informal,no_accessibility,medium,familiar,closed,none
139,4,FALSE,casual drinker,informal,family,public,single,independent,21,variety,thrifty-protector,Catholic,student,low,No_Alcohol_Served,none,informal,no_accessibility,medium,familiar,closed,none
140,6,FALSE,casual drinker,informal,family,public,single,independent,21,variety,thrifty-protector,Catholic,student,low,No_Alcohol_Served,none,informal,completely,low,familiar,closed,none
141,4,FALSE,casual drinker,formal,solitary,public,single,independent,20,variety,hunter-ostentatious,none,student,medium,No_Alcohol_Served,none,informal,completely,low,familiar,closed,none
142,2,FALSE,casual drinker,informal,family,public,single,independent,20,variety,hard-worker,Catholic,student,low,Wine-Beer,none,informal,no_accessibility,medium,familiar,closed,none
143,4,FALSE,casual drinker,formal,solitary,public,single,independent,20,variety,hunter-ostentatious,none,student,medium,No_Alcohol_Served,none,informal,no_accessibility,medium,familiar,closed,none
144,5,FALSE,casual drinker,informal,family,public,single,independent,20,variety,hard-worker,Catholic,student,low,Wine-Beer,none,informal,no_accessibility,medium,familiar,closed,none
145,1,FALSE,casual drinker,informal,family,public,single,independent,20,variety,hard-worker,Catholic,student,low,No_Alcohol_Served,none,informal,completely,low,familiar,closed,none
146,1,FALSE,casual drinker,formal,solitary,public,single,independent,20,variety,hunter-ostentatious,none,student,medium,Wine-Beer,none,informal,no_accessibility,medium,familiar,closed,none
147,0,FALSE,casual drinker,informal,family,public,single,independent,20,variety,hard-worker,Catholic,student,low,No_Alcohol_Served,none,informal,completely,low,familiar,closed,none
148,2,FALSE,casual drinker,formal,solitary,public,single,independent,20,variety,hunter-ostentatious,none,student,medium,No_Alcohol_Served,none,informal,no_accessibility,medium,familiar,closed,none
149,4,FALSE,casual drinker,formal,solitary,public,single,independent,20,variety,hunter-ostentatious,none,student,medium,No_Alcohol_Served,none,informal,no_accessibility,medium,familiar,closed,none
150,2,FALSE,casual drinker,informal,family,public,single,independent,20,variety,hard-worker,Catholic,student,low,No_Alcohol_Served,not permitted,informal,completely,low,quiet,closed,none
151,2,FALSE,casual drinker,informal,family,public,single,independent,20,variety,hard-worker,Catholic,student,low,No_Alcohol_Served,none,informal,completely,low,familiar,closed,none
152,5,FALSE,casual drinker,informal,family,public,single,independent,20,variety,hard-worker,Catholic,student,low,No_Alcohol_Served,none,informal,completely,low,familiar,closed,none
153,4,FALSE,casual drinker,informal,family,public,single,independent,20,variety,hard-worker,Catholic,student,low,No_Alcohol_Served,not permitted,informal,no_accessibility,medium,familiar,closed,none
154,2,FALSE,casual drinker,informal,family,public,single,independent,20,variety,hard-worker,Catholic,student,low,No_Alcohol_Served,none,informal,no_accessibility,medium,familiar,closed,none
155,3,FALSE,casual drinker,informal,family,public,single,independent,20,variety,hard-worker,Catholic,student,low,No_Alcohol_Served,none,informal,completely,low,familiar,closed,none
156,2,FALSE,casual drinker,informal,family,public,single,independent,20,variety,hard-worker,Catholic,student,low,Wine-Beer,none,informal,no_accessibility,medium,familiar,closed,none
157,3,FALSE,abstemious,informal,family,public,single,independent,22,variety,thrifty-protector,none,student,medium,No_Alcohol_Served,not permitted,informal,completely,low,quiet,closed,none
158,5,FALSE,abstemious,informal,family,public,single,independent,22,variety,thrifty-protector,none,student,medium,No_Alcohol_Served,not permitted,informal,completely,low,quiet,closed,none
159,4,FALSE,abstemious,no preference,friends,public,single,independent,21,none,hard-worker,Catholic,student,medium,Wine-Beer,none,informal,no_accessibility,medium,familiar,closed,none
160,4,FALSE,social drinker,informal,family,public,single,independent,20,none,hard-worker,Catholic,student,medium,No_Alcohol_Served,not permitted,informal,completely,low,quiet,closed,none
161,6,FALSE,social drinker,informal,family,public,single,independent,20,none,hard-worker,Catholic,student,medium,No_Alcohol_Served,none,informal,no_accessibility,medium,familiar,closed,none
162,2,FALSE,abstemious,no preference,friends,public,single,independent,21,none,hard-worker,Catholic,student,medium,Wine-Beer,none,informal,no_accessibility,medium,familiar,closed,none
163,6,FALSE,abstemious,no preference,friends,public,single,independent,21,none,hard-worker,Catholic,student,medium,No_Alcohol_Served,none,informal,no_accessibility,medium,familiar,closed,none
164,5,FALSE,social drinker,informal,family,public,single,independent,20,none,hard-worker,Catholic,student,medium,No_Alcohol_Served,none,informal,no_accessibility,medium,familiar,closed,none
165,4,FALSE,abstemious,no preference,friends,public,single,independent,21,none,hard-worker,Catholic,student,medium,Wine-Beer,none,informal,no_accessibility,medium,familiar,closed,none
166,3,FALSE,abstemious,no preference,friends,public,single,independent,21,none,hard-worker,Catholic,student,medium,No_Alcohol_Served,none,informal,no_accessibility,medium,familiar,closed,none
167,6,FALSE,abstemious,no preference,friends,public,single,independent,21,none,hard-worker,Catholic,student,medium,Wine-Beer,none,informal,no_accessibility,medium,familiar,closed,none
168,6,FALSE,social drinker,informal,family,public,single,independent,20,none,hard-worker,Catholic,student,medium,No_Alcohol_Served,none,informal,completely,low,familiar,closed,none
169,5,FALSE,social drinker,informal,family,public,single,independent,20,none,hard-worker,Catholic,student,medium,Wine-Beer,none,informal,no_accessibility,medium,familiar,closed,none
